id,age,gender,province,population_group,monthly_income,education_level,employment_status,main_income_source,uses_bank_account,withdrawal_frequency,withdrawal_percentage,preferred_withdrawal_channel,reason_for_cash_use
24,43,Male,Western Cape,Coloured,2880.0,Primary,Employed,Salary,Yes,Monthly,88,ATM,Personal preference
25,19,Female,KwaZulu-Natal,Black African,740.0,Secondary,Employed,Salary,Yes,Weekly,82,ATM,Other
26,41,Male,Gauteng,Black African,11420.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
27,54,Female,KwaZulu-Natal,Black African,10360.0,No formal education,Employed,Salary,Yes,Daily,40,Retail store,Too little money
28,23,Female,KwaZulu-Natal,Black African,3590.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
29,29,Female,KwaZulu-Natal,Coloured,2210.0,No formal education,Unemployed,Grants,Yes,Less often,86,ATM,Too little money
30,27,Female,North West,Black African,17350.0,Tertiary,Self-employed,Salary,Yes,Weekly,45,ATM,To avoid fees
31,37,Male,Limpopo,Black African,3890.0,Secondary,Self-employed,Remittances,No,Less often,100,None,No bank account
32,41,Female,Northern Cape,Black African,2320.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
33,29,Female,Western Cape,White,92380.0,Secondary,Self-employed,Salary,Yes,Less often,30,ATM,Personal preference
34,57,Male,Gauteng,Black African,13390.0,Secondary,Unemployed,Remittances,No,Less often,100,None,No bank account
35,34,Female,KwaZulu-Natal,Coloured,2500.0,No formal education,Unemployed,Grants,Yes,Weekly,75,ATM,Personal preference
36,41,Male,Western Cape,Indian/Asian,39670.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
37,32,Female,KwaZulu-Natal,Black African,2950.0,Primary,Employed,Salary,Yes,Weekly,79,ATM,Too little money
38,40,Male,Gauteng,Coloured,7890.0,Primary,Retired,Pension,No,Less often,100,None,No bank account
39,46,Other,Western Cape,Black African,8290.0,Secondary,Employed,Salary,Yes,Monthly,64,ATM,Privacy
40,61,Male,Gauteng,Black African,2990.0,Primary,Retired,Pension,No,Less often,100,None,No bank account
41,57,Male,Limpopo,Black African,5300.0,Secondary,Self-employed,Remittances,Yes,Daily,100,ATM,To avoid fees
42,18,Female,Mpumalanga,Coloured,13230.0,Secondary,Employed,Salary,Yes,Weekly,60,Retail store,Other
43,38,Female,Limpopo,White,8160.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
44,43,Female,Gauteng,Black African,2320.0,Secondary,Unemployed,Remittances,Yes,Less often,100,Retail store,Too little money
45,56,Male,Western Cape,Black African,26750.0,Secondary,Employed,Salary,Yes,Weekly,43,ATM,Too little money
46,45,Male,KwaZulu-Natal,Black African,3370.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
47,34,Male,Northern Cape,Black African,10030.0,Primary,Employed,Salary,Yes,Weekly,26,ATM,Personal preference
48,21,Male,Mpumalanga,Black African,5150.0,Secondary,Employed,Salary,Yes,Daily,44,ATM,Personal preference
49,25,Male,KwaZulu-Natal,Black African,3940.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
50,45,Female,Gauteng,Black African,3480.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
51,32,Male,Gauteng,Black African,5840.0,Secondary,Employed,Salary,Yes,Monthly,74,ATM,Personal preference
52,32,Male,Gauteng,Black African,5500.0,Primary,Self-employed,Grants,No,Less often,100,None,No bank account
53,34,Female,Eastern Cape,Black African,1380.0,Primary,Unemployed,Grants,Yes,Weekly,77,Retail store,Too little money
54,30,Male,Gauteng,Black African,4720.0,Primary,Employed,Salary,Yes,Less often,80,ATM,Other
55,25,Male,KwaZulu-Natal,White,18190.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
56,59,Male,Limpopo,Black African,10690.0,Secondary,Employed,Salary,Yes,Weekly,83,ATM,Too little money
57,24,Male,KwaZulu-Natal,Black African,3340.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
58,27,Female,Limpopo,Black African,5370.0,Secondary,Employed,Salary,Yes,Less often,85,Retail store,Personal preference
59,27,Male,Limpopo,Black African,2660.0,Secondary,Employed,Salary,Yes,Weekly,81,Retail store,Too little money
60,18,Female,KwaZulu-Natal,Black African,5020.0,Secondary,Employed,Salary,Yes,Weekly,55,ATM,To avoid fees
61,55,Male,KwaZulu-Natal,White,7410.0,Tertiary,Employed,Salary,Yes,Weekly,60,Bank branch,Too little money
62,46,Female,Gauteng,Black African,6100.0,Primary,Employed,Salary,Yes,Monthly,64,ATM,To avoid fees
63,39,Male,Mpumalanga,Black African,9750.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
64,51,Female,Gauteng,Black African,12800.0,Primary,Self-employed,Grants,Yes,Monthly,58,ATM,Personal preference
65,66,Female,North West,Black African,4710.0,Secondary,Self-employed,Grants,No,Less often,100,None,No bank account
66,37,Female,KwaZulu-Natal,Black African,4080.0,Tertiary,Unemployed,Grants,No,Less often,100,None,No bank account
67,41,Male,Western Cape,Black African,3620.0,Primary,Self-employed,Salary,Yes,Monthly,55,ATM,Personal preference
68,21,Male,KwaZulu-Natal,Black African,3340.0,Secondary,Employed,Salary,Yes,Monthly,75,ATM,Other
69,21,Female,Eastern Cape,Black African,1690.0,Secondary,Employed,Salary,Yes,Daily,90,ATM,Too little money
70,51,Male,KwaZulu-Natal,Black African,450.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
71,25,Female,KwaZulu-Natal,Black African,5550.0,Secondary,Employed,Salary,Yes,Weekly,39,ATM,Personal preference
72,36,Male,Eastern Cape,Black African,2850.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
73,48,Female,Gauteng,Black African,1500.0,Secondary,Self-employed,Salary,Yes,Weekly,100,ATM,Personal preference
74,19,Female,KwaZulu-Natal,Black African,15310.0,Tertiary,Unemployed,Grants,No,Less often,100,None,No bank account
75,36,Male,Western Cape,Black African,45580.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
76,19,Male,Western Cape,White,35240.0,Secondary,Employed,Salary,Yes,Monthly,45,ATM,Personal preference
77,40,Male,Mpumalanga,Coloured,16370.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
78,39,Male,Gauteng,Black African,860.0,No formal education,Unemployed,Grants,Yes,Weekly,100,ATM,Too little money
79,24,Male,Eastern Cape,White,6360.0,No formal education,Employed,Salary,Yes,Weekly,90,ATM,Too little money
80,48,Male,Western Cape,Black African,4630.0,Primary,Employed,Salary,Yes,Weekly,87,ATM,Personal preference
81,41,Female,Gauteng,Black African,5380.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
82,41,Female,Mpumalanga,Black African,8270.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
83,36,Male,Free State,Black African,3420.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
84,18,Male,Western Cape,Black African,12130.0,Secondary,Employed,Salary,Yes,Weekly,83,ATM,Too little money
85,37,Female,Eastern Cape,Black African,5590.0,Secondary,Student,Salary,No,Less often,100,None,No bank account
86,62,Female,Northern Cape,Black African,3060.0,Primary,Retired,Grants,Yes,Weekly,59,ATM,Personal preference
87,23,Male,Western Cape,Indian/Asian,4200.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
88,33,Female,North West,Black African,1660.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
89,40,Female,KwaZulu-Natal,Black African,2490.0,Primary,Unemployed,Grants,Yes,Less often,71,Retail store,Privacy
90,52,Female,Gauteng,Black African,3620.0,Primary,Employed,Salary,Yes,Monthly,67,Retail store,Personal preference
91,36,Male,Mpumalanga,White,17510.0,Tertiary,Employed,Salary,Yes,Monthly,61,ATM,Personal preference
92,34,Male,Gauteng,Black African,24000.0,Primary,Self-employed,Salary,Yes,Monthly,45,ATM,Too little money
93,47,Male,Mpumalanga,Black African,7350.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
94,47,Female,Gauteng,Coloured,25010.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
95,25,Male,Limpopo,Coloured,3140.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
96,44,Female,Limpopo,Black African,990.0,Secondary,Unemployed,Other,Yes,Monthly,82,ATM,Personal preference
97,39,Female,Western Cape,Black African,21140.0,Primary,Self-employed,Other,No,Less often,100,None,No bank account
98,39,Male,Western Cape,Black African,5340.0,Secondary,Unemployed,Grants,Yes,Weekly,30,Bank branch,Too little money
99,32,Male,Western Cape,Black African,2920.0,Tertiary,Employed,Salary,Yes,Less often,93,ATM,Too little money
100,18,Female,KwaZulu-Natal,Coloured,2780.0,Primary,Employed,Salary,Yes,Monthly,94,ATM,Other
101,30,Male,Mpumalanga,Black African,5490.0,Secondary,Employed,Salary,Yes,Daily,63,Retail store,Too little money
102,33,Male,Gauteng,Black African,18080.0,Secondary,Employed,Salary,Yes,Weekly,23,Bank branch,Personal preference
103,41,Male,Western Cape,Black African,5660.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
104,23,Male,Northern Cape,Black African,3930.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
105,35,Male,Western Cape,Black African,3650.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
106,51,Male,North West,Black African,6710.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
107,48,Female,Western Cape,Coloured,29980.0,Secondary,Employed,Salary,Yes,Monthly,32,ATM,Personal preference
108,27,Female,Gauteng,Indian/Asian,9420.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
109,33,Female,Gauteng,Indian/Asian,14300.0,Primary,Employed,Salary,Yes,Daily,57,ATM,Too little money
110,39,Female,KwaZulu-Natal,Black African,6310.0,Secondary,Student,Salary,No,Less often,100,None,No bank account
111,29,Female,Mpumalanga,White,3770.0,Primary,Self-employed,Salary,No,Less often,100,None,No bank account
112,27,Female,Mpumalanga,Black African,4780.0,Primary,Student,Salary,No,Less often,100,None,No bank account
113,30,Male,KwaZulu-Natal,Black African,1490.0,Primary,Student,Salary,No,Less often,100,None,No bank account
114,29,Female,KwaZulu-Natal,Black African,4960.0,No formal education,Employed,Salary,Yes,Weekly,76,ATM,Too little money
115,49,Female,Gauteng,Black African,4420.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
116,31,Male,KwaZulu-Natal,White,9680.0,No formal education,Employed,Salary,Yes,Less often,56,ATM,Personal preference
117,18,Female,North West,Black African,3580.0,Secondary,Employed,Salary,Yes,Monthly,86,ATM,Personal preference
118,23,Female,North West,Black African,5370.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
119,40,Female,Eastern Cape,Black African,6820.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
120,22,Female,KwaZulu-Natal,Black African,6420.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
121,38,Female,Limpopo,Black African,4600.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
122,43,Male,Limpopo,Black African,4860.0,Primary,Employed,Salary,Yes,Weekly,100,ATM,Too little money
123,24,Male,Gauteng,Black African,6540.0,Secondary,Employed,Salary,Yes,Weekly,40,Retail store,Too little money
124,29,Male,KwaZulu-Natal,Black African,3700.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
125,45,Female,Western Cape,Black African,6640.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
126,34,Male,Gauteng,Black African,2670.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
127,18,Male,Gauteng,Black African,6210.0,Secondary,Employed,Salary,Yes,Weekly,28,Retail store,Too little money
128,37,Male,Eastern Cape,White,37620.0,Tertiary,Unemployed,Remittances,Yes,Weekly,58,Retail store,Privacy
129,55,Male,Gauteng,Black African,10860.0,Secondary,Employed,Salary,Yes,Monthly,43,ATM,Too little money
130,41,Female,Gauteng,Black African,3170.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
131,18,Female,KwaZulu-Natal,Indian/Asian,12730.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
132,38,Female,Gauteng,Black African,3730.0,No formal education,Self-employed,Salary,Yes,Weekly,71,ATM,Personal preference
133,32,Female,Gauteng,Black African,7440.0,Secondary,Employed,Salary,Yes,Monthly,71,Retail store,Too little money
134,55,Male,Western Cape,Black African,11360.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
135,35,Male,Limpopo,Black African,7000.0,Tertiary,Employed,Salary,Yes,Weekly,89,Retail store,Privacy
136,49,Female,Eastern Cape,Black African,3540.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
137,24,Male,Western Cape,White,7480.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
138,34,Other,Mpumalanga,Black African,6810.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
139,42,Male,Western Cape,Black African,12480.0,Secondary,Student,Grants,No,Less often,100,None,No bank account
140,64,Female,Gauteng,Black African,4490.0,Primary,Unemployed,Grants,Yes,Daily,87,ATM,Personal preference
141,35,Female,KwaZulu-Natal,Black African,1430.0,Secondary,Unemployed,Grants,Yes,Monthly,88,ATM,Personal preference
142,28,Male,Gauteng,Black African,4110.0,Secondary,Employed,Salary,Yes,Less often,86,ATM,Too little money
143,49,Female,KwaZulu-Natal,Black African,3390.0,Primary,Employed,Salary,Yes,Less often,94,ATM,Too little money
144,34,Male,Western Cape,Black African,7070.0,Secondary,Employed,Salary,Yes,Weekly,54,ATM,Too little money
145,41,Male,Mpumalanga,Black African,1340.0,Primary,Unemployed,Grants,Yes,Weekly,79,ATM,Too little money
146,26,Female,KwaZulu-Natal,Black African,8640.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
147,49,Female,Eastern Cape,Black African,3240.0,Primary,Employed,Salary,Yes,Monthly,68,ATM,Personal preference
148,30,Male,Western Cape,White,37680.0,Tertiary,Employed,Salary,Yes,Weekly,40,ATM,Personal preference
149,48,Male,Eastern Cape,Black African,7010.0,Secondary,Employed,Salary,Yes,Weekly,68,ATM,Too little money
150,40,Male,North West,Black African,18110.0,Secondary,Student,Grants,Yes,Monthly,65,ATM,Personal preference
151,47,Female,Gauteng,Black African,1420.0,Secondary,Self-employed,Salary,Yes,Weekly,50,Retail store,Too little money
152,45,Female,Mpumalanga,White,8740.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
153,49,Male,KwaZulu-Natal,Indian/Asian,8470.0,Secondary,Unemployed,Grants,Yes,Less often,53,ATM,Too little money
154,37,Male,KwaZulu-Natal,Black African,30150.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
155,34,Male,Free State,Indian/Asian,7250.0,Secondary,Employed,Salary,Yes,Monthly,37,ATM,Personal preference
156,49,Female,Western Cape,Black African,4990.0,No formal education,Employed,Salary,Yes,Less often,58,ATM,Personal preference
157,21,Female,Northern Cape,Black African,16270.0,Tertiary,Employed,Salary,Yes,Monthly,47,ATM,Personal preference
158,18,Female,Western Cape,Black African,22310.0,Secondary,Employed,Salary,Yes,Monthly,92,ATM,Too little money
159,57,Female,Gauteng,Coloured,3820.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
160,36,Male,Gauteng,Black African,18630.0,Secondary,Employed,Salary,Yes,Monthly,58,ATM,Too little money
161,41,Female,Western Cape,Black African,6030.0,Secondary,Employed,Salary,Yes,Weekly,76,ATM,Personal preference
162,36,Male,North West,Black African,780.0,Primary,Self-employed,Remittances,Yes,Less often,62,ATM,Personal preference
163,18,Female,KwaZulu-Natal,Black African,7730.0,Primary,Employed,Salary,Yes,Monthly,70,ATM,Other
164,23,Male,Mpumalanga,Black African,1710.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
165,34,Male,Mpumalanga,Black African,500.0,Primary,Self-employed,Salary,No,Less often,100,None,No bank account
166,43,Male,KwaZulu-Natal,Black African,4060.0,Secondary,Student,Salary,No,Less often,100,None,No bank account
167,63,Female,Eastern Cape,Black African,1750.0,Secondary,Retired,Pension,Yes,Less often,67,ATM,Personal preference
168,39,Male,KwaZulu-Natal,Black African,16020.0,Secondary,Self-employed,Remittances,No,Less often,100,None,No bank account
169,22,Female,Western Cape,Black African,7020.0,Primary,Unemployed,Grants,Yes,Weekly,82,ATM,Too little money
170,18,Female,Mpumalanga,Coloured,4830.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
171,34,Female,KwaZulu-Natal,Black African,8630.0,Secondary,Unemployed,Other,Yes,Monthly,65,ATM,Too little money
172,57,Female,KwaZulu-Natal,White,35700.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
173,29,Female,Gauteng,Indian/Asian,10610.0,Primary,Self-employed,Grants,Yes,Monthly,46,ATM,Personal preference
174,37,Female,North West,Black African,3890.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
175,46,Male,Western Cape,Black African,34110.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
176,38,Female,Free State,Black African,4500.0,Primary,Unemployed,Grants,Yes,Monthly,72,ATM,Too little money
177,46,Female,Western Cape,Black African,5940.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
178,46,Male,Northern Cape,Black African,2890.0,No formal education,Unemployed,Grants,No,Less often,100,None,No bank account
179,31,Male,Mpumalanga,Black African,10470.0,Secondary,Employed,Salary,Yes,Daily,75,ATM,Too little money
180,43,Female,Gauteng,White,38970.0,Tertiary,Employed,Salary,Yes,Monthly,46,ATM,Too little money
181,33,Female,Western Cape,Black African,6810.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
182,45,Male,Mpumalanga,Black African,2290.0,Secondary,Unemployed,Grants,Yes,Daily,51,ATM,Personal preference
183,31,Male,Limpopo,Black African,6260.0,Tertiary,Employed,Salary,Yes,Weekly,100,Bank branch,Personal preference
184,35,Male,Mpumalanga,Black African,8820.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
185,67,Male,Gauteng,Black African,8600.0,Tertiary,Retired,Pension,No,Less often,100,None,No bank account
186,22,Female,Western Cape,Black African,15200.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
187,55,Female,Western Cape,Black African,5720.0,No formal education,Employed,Salary,Yes,Less often,10,ATM,Too little money
188,40,Male,Gauteng,Black African,2120.0,No formal education,Employed,Salary,Yes,Daily,75,Retail store,Too little money
189,25,Female,Gauteng,White,12250.0,Secondary,Employed,Salary,Yes,Monthly,51,Retail store,Too little money
190,30,Male,KwaZulu-Natal,Black African,2230.0,Secondary,Unemployed,Grants,Yes,Less often,82,ATM,Personal preference
191,27,Male,KwaZulu-Natal,Black African,3180.0,Secondary,Employed,Salary,Yes,Weekly,65,Retail store,Too little money
192,21,Female,Western Cape,Black African,25130.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
193,26,Male,Western Cape,Black African,7330.0,Secondary,Employed,Salary,Yes,Monthly,17,ATM,Too little money
194,46,Female,KwaZulu-Natal,Black African,5290.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
195,40,Female,North West,Black African,6050.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
196,21,Male,Gauteng,Coloured,5290.0,Secondary,Employed,Salary,Yes,Monthly,26,ATM,Too little money
197,49,Male,Eastern Cape,Black African,1180.0,Tertiary,Unemployed,Grants,Yes,Monthly,71,ATM,Too little money
198,33,Male,Western Cape,Black African,11280.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
199,31,Male,North West,Black African,3880.0,Secondary,Student,Salary,No,Less often,100,None,No bank account
200,18,Female,Gauteng,Black African,2320.0,Primary,Unemployed,Remittances,Yes,Weekly,68,ATM,Personal preference
201,27,Male,North West,Black African,6910.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
202,38,Female,Eastern Cape,Black African,6480.0,Secondary,Employed,Salary,Yes,Monthly,83,ATM,To avoid fees
203,40,Male,Limpopo,Black African,1720.0,Secondary,Self-employed,Salary,Yes,Less often,93,ATM,To avoid fees
204,18,Male,Gauteng,Black African,15680.0,Secondary,Employed,Salary,Yes,Monthly,78,Bank branch,Too little money
205,30,Female,Gauteng,Black African,4890.0,Secondary,Self-employed,Salary,No,Less often,100,None,No bank account
206,62,Female,Western Cape,Black African,9480.0,Secondary,Retired,Pension,Yes,Weekly,77,ATM,Personal preference
207,28,Female,Western Cape,Indian/Asian,42310.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
208,27,Female,Limpopo,Black African,4130.0,Secondary,Unemployed,Grants,Yes,Monthly,77,ATM,Personal preference
209,26,Male,Western Cape,Black African,8330.0,Primary,Employed,Salary,Yes,Monthly,67,ATM,Personal preference
210,33,Male,Gauteng,Black African,3240.0,Secondary,Self-employed,Salary,No,Less often,100,None,No bank account
211,33,Female,Northern Cape,Black African,12140.0,Primary,Self-employed,Grants,Yes,Monthly,28,ATM,Personal preference
212,21,Female,Limpopo,Black African,5470.0,Secondary,Employed,Salary,Yes,Monthly,79,ATM,Personal preference
213,18,Female,Western Cape,Black African,4920.0,Primary,Employed,Salary,Yes,Less often,80,ATM,Personal preference
214,24,Male,Gauteng,Black African,14060.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
215,33,Male,North West,Black African,3040.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
216,41,Female,North West,Black African,1670.0,Tertiary,Unemployed,Grants,Yes,Monthly,73,ATM,Other
217,36,Female,KwaZulu-Natal,Black African,2420.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
218,38,Male,Eastern Cape,Black African,4020.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
219,29,Female,Limpopo,Black African,1130.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
220,28,Male,KwaZulu-Natal,Black African,3300.0,Secondary,Employed,Salary,Yes,Weekly,76,ATM,Too little money
221,18,Female,Western Cape,Black African,8270.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
222,40,Male,Western Cape,Black African,8260.0,Secondary,Employed,Salary,Yes,Daily,74,ATM,Personal preference
223,26,Male,Western Cape,Black African,9270.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
224,32,Male,Gauteng,Black African,18810.0,Secondary,Employed,Salary,Yes,Monthly,41,Retail store,Privacy
225,34,Female,Northern Cape,Black African,1490.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
226,21,Female,Eastern Cape,Black African,3850.0,Secondary,Employed,Salary,Yes,Less often,76,Retail store,Too little money
227,18,Male,Gauteng,Black African,2930.0,No formal education,Retired,Pension,Yes,Monthly,100,ATM,Personal preference
228,45,Male,KwaZulu-Natal,Black African,2300.0,No formal education,Employed,Salary,Yes,Weekly,73,Retail store,Personal preference
229,42,Female,Northern Cape,Black African,4250.0,Primary,Employed,Salary,Yes,Weekly,84,ATM,Other
230,41,Female,North West,White,8050.0,Secondary,Student,Remittances,Yes,Monthly,35,ATM,Too little money
231,44,Male,KwaZulu-Natal,Black African,2930.0,No formal education,Unemployed,Other,Yes,Monthly,79,ATM,Personal preference
232,40,Male,KwaZulu-Natal,Black African,6660.0,Secondary,Employed,Salary,Yes,Weekly,69,Retail store,Personal preference
233,32,Female,Gauteng,Black African,6960.0,Tertiary,Employed,Salary,Yes,Monthly,58,ATM,Too little money
234,51,Male,Gauteng,White,8440.0,Primary,Employed,Salary,Yes,Daily,46,Retail store,Too little money
235,43,Male,Eastern Cape,Black African,1660.0,Primary,Self-employed,Other,No,Less often,100,None,No bank account
236,33,Female,Gauteng,Black African,19130.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
237,43,Male,Limpopo,Coloured,10110.0,Secondary,Employed,Salary,Yes,Less often,63,ATM,Personal preference
238,28,Male,Limpopo,Black African,2740.0,Primary,Unemployed,Grants,No,Less often,100,None,No bank account
239,21,Male,Western Cape,Black African,21520.0,Tertiary,Employed,Salary,Yes,Weekly,71,ATM,To avoid fees
240,29,Female,Limpopo,Indian/Asian,2860.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
241,39,Male,Limpopo,Black African,4920.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
242,58,Male,North West,Coloured,49590.0,Tertiary,Employed,Salary,Yes,Less often,76,Retail store,Personal preference
243,46,Female,Gauteng,Black African,8120.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
244,21,Female,Free State,Black African,2590.0,No formal education,Self-employed,Salary,No,Less often,100,None,No bank account
245,30,Female,Limpopo,Black African,12540.0,Tertiary,Employed,Salary,No,Less often,100,None,No bank account
246,23,Female,Gauteng,Black African,4570.0,Primary,Self-employed,Grants,No,Less often,100,None,No bank account
247,58,Female,Mpumalanga,Black African,2590.0,Primary,Employed,Salary,Yes,Weekly,82,ATM,Personal preference
248,27,Male,Limpopo,Black African,9980.0,Secondary,Employed,Salary,Yes,Weekly,88,ATM,Too little money
249,33,Female,Gauteng,Black African,4100.0,Primary,Employed,Salary,Yes,Less often,83,ATM,Too little money
250,32,Female,Free State,Black African,1680.0,Primary,Unemployed,Grants,Yes,Monthly,66,ATM,Other
251,22,Female,Western Cape,Black African,7600.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
252,49,Female,Gauteng,Black African,12850.0,Secondary,Self-employed,Other,Yes,Weekly,50,ATM,Too little money
253,38,Female,KwaZulu-Natal,Black African,1110.0,Primary,Retired,Pension,No,Less often,100,None,No bank account
254,24,Female,North West,Black African,2860.0,Primary,Unemployed,Remittances,Yes,Monthly,100,ATM,Too little money
